product_id,product_name,parenthesis_extracted
497,"Gotero netafim PCJ 2 lph (LUPIN ""LA CHOLE"")","LUPIN ""LA CHOLE"""
496,"Gotero codo corto Tipo Flecha de 14 cm, 4 mm diametro de insersion  (LUPIN ""LA CHOLE"") sin tubin","LUPIN ""LA CHOLE"""
495,"Gotero codo corto Tipo flecha de 14 cm largo,  4 mm diametro de insersion,  Ensamblada con Tubin 3x5 blanco/negro (LUPIN ""LA CHOLE"") Estaca","LUPIN ""LA CHOLE"""
494,tubin de 30 cm+contrapeso+inserto (sin valvula antigoteo) (de aspersor Spinnet 70 lph),de aspersor Spinnet 70 lph
493,tubin de 30 cm+inserto sin contrapeso (de aspersor Spinnet 70 lph),de aspersor Spinnet 70 lph
374,Perfil sugetador Galbanizado 6 (Cortado a 3 m) (Aranza),Aranza
385,Perfil sugetador Galbanizado 6 (Cortado a 3 m) (Aranza),Aranza
602,TUBOS METALICOS CON ORIFICIO EN MEDIO,
483,NETAFIM ARMADO DE 30 CM MICRO ASPERSOR  90 LPH NARANJA POR ESCATA  1M,
589,CLAVIJA OJILLO 12-10,
601,GLANDULAS PRENSA CABLES,
600,ARANDELA 3/8,
432,CABLE SOLAR   CAL 10 AWG 2000V,
561,"Tee pvc 1.25"" (1 1/4"")","1 1/4"""
564,CABLE TENSOR EN TRAMOS PLASTIFICADO ( PEDACERIA), PEDACERIA
569,ABRAZADERA DE 1/2,
504,"MANGUERA DE SUCCION ANILLADA 1.5"" 10 Y 5M",
430,CABLE PLANO SUMEGIBLE 3X8 AWG,
584,"ABRAZADERA OMEGA 1/2""",
581,Manguera naranja electrica 3/4,
498,"Tubin Netafim 305 m de 3x5 mm (LUPIN ""LA CHOLE"")","LUPIN ""LA CHOLE"""
594,mANGUERA METALIZA ANILLADA 3/4,
540,ABRAZADERA USO RUDO 36-39,
400,"Alambre Zig ZAg Rollo 5 (Aranza), Rollo 4 (7.935 kg) (Aranza)",Aranza
492,GIRONET ARMADO  PARA COLGARSE AZUL 40LPH CON VALVULA ANTIGOTEO INVERTIDO CON CONTRAPESO 15 CM,
562,"codos de 45° 1.25"" (1 1/4)",1 1/4
434,"MANGUERA NARANJA ANILLADA DE 1""",
609,Motobomba periférica TUBMAN 1/2 HP (TM-P50X-1127),TM-P50X-1127
568,"ANGULO 1/8 X1.25""",
567,"ANGULO 2"" X 2"" 1/8""",
570,ABRAZADERA DE 3/4,
585,ABRAZADERA GANCHO 3/4,
401,"Alambre Zig ZAg (Rollo 1 (9.920 kg), Rollo 2 (9.735 kg)",9.735 kg
590,"CABLE ROJO 10AWG 1000V SUN (50CM, 47CM, 50CM, 23CM, 20CM, 20CM)","50CM, 47CM, 50CM, 23CM, 20CM, 20CM"
595,CINCHOS CIN-5030 (44308),44308
598,FUSIBLES CONNERA 10X85 (IEC60269-6) P/CAJA SHIELD,IEC60269-6
409,Llaves para MC4,
534,"ADAPTADOR HEMBRA DE 1"" PVC",
704,BOLSA 18X23 CAL 400 ,
706,BOLSA VIVERO 20X30 CAL 400 ,
591,"CABLE NEGRO 10AWG  (55CM, 57CM, 33CM)","55CM, 57CM, 33CM"
592,CABLE VERDE 12AWG (160CM),160CM
503,CAM-LOCK 1.5 PULG (WADE RAIN) C200,WADE RAIN
468,HYDRO FILPRO,
542,MANOMETRO DE PRECION 60 psi (4 bar),4 bar
467,MICRO 1,
466,MOTOFUMIGADORA OKLAND (CON MOTOR),CON MOTOR
469,NATAI,
470,PROINMUN-K,
566,PTR 1 1/4 CALIBRE 14,
599,"REDUCCION BUCHING 1.25""X3/4""",
563,Rollo de soldadura,
471,SIDIC H,
582,SOLDADURA 6013,
560,ponchadora azul de maneral,
